,symbol,entry_dt,entry_price,amt,qty,tp,sl,exit_dt,exit_price,exit_type,profit_loss,fees
59,ATOMUSDT,2020-05-12 12:01:00,2.52,50000,-19841.26984126984,-10.08,15.120000000000001,2020-05-12 16:00:00,2.486,barclose,674.6031746031708,27.182142857142857
60,ATOMUSDT,2020-05-12 16:01:00,2.493,50000,20056.157240272765,14.957999999999998,-9.972,2020-05-12 20:00:00,2.483,barclose,-200.56157240272339,26.945848375451263
61,ATOMUSDT,2020-05-12 20:01:00,2.487,50000,-20104.543626859668,-9.948,14.922,2020-05-13 08:00:00,2.452,barclose,703.6590269400913,27.189987937273827
62,ATOMUSDT,2020-05-13 12:01:00,2.497,50000,20024.028834601522,14.982,-9.988,2020-05-13 16:00:00,2.555,barclose,1161.3936724068938,27.31357629154986
63,ATOMUSDT,2020-05-13 16:01:00,2.564,50000,-19500.780031201248,-10.256,15.384,2020-05-14 00:00:00,2.539,barclose,487.5195007800295,27.13163026521061
64,ATOMUSDT,2020-05-14 04:01:00,2.494,50000,20048.115477145147,14.964000000000002,-9.976,2020-05-14 12:00:00,2.515,barclose,421.0104250200462,27.11367281475541
65,ATOMUSDT,2020-05-14 12:01:00,2.521,50000,-19833.399444664818,-10.084,15.126,2020-05-15 00:00:00,2.531,barclose,-198.33399444665275,26.946449821499407
66,ATOMUSDT,2020-05-15 04:01:00,2.514,50000,19888.62370723946,15.084,-10.056,2020-05-15 12:00:00,2.56,barclose,914.8766905330205,27.247016706443915
67,ATOMUSDT,2020-05-15 20:01:00,2.479,50000,20169.42315449778,14.874,-9.916,2020-05-16 00:00:00,2.474,barclose,-100.84711577248676,26.97277127874143
68,ATOMUSDT,2020-05-17 12:01:00,2.582,50000,19364.833462432223,15.491999999999999,-10.328,2020-05-17 16:00:00,2.594,barclose,232.37800154918688,27.06274206041828
69,ATOMUSDT,2020-05-18 00:01:00,2.542,50000,19669.551534225022,15.251999999999999,-10.168,2020-05-18 04:00:00,2.643,barclose,1986.6247049567269,27.536388670338315
70,ATOMUSDT,2020-05-18 04:01:00,2.644,50000,-18910.741301059,-10.576,15.864,2020-05-18 08:00:00,2.621,barclose,434.9470499243595,27.11743570347958
71,ATOMUSDT,2020-05-18 08:01:00,2.621,50000,19076.68828691339,15.725999999999999,-10.484,2020-05-18 16:00:00,2.61,barclose,-209.84357115604962,26.943342235787867
72,ATOMUSDT,2020-05-18 16:01:00,2.609,50000,-19164.430816404754,-10.436,15.654,2020-05-19 00:00:00,2.602,barclose,134.15101571483552,27.036220774243006
73,ATOMUSDT,2020-05-19 04:01:00,2.535,50000,19723.86587771203,15.21,-10.14,2020-05-19 08:00:00,2.559,barclose,473.3727810650891,27.127810650887575
74,ATOMUSDT,2020-05-19 12:01:00,2.591,50000,-19297.568506368196,-10.364,15.546000000000001,2020-05-19 16:00:00,2.572,barclose,366.6538016209982,27.09899652643767
75,ATOMUSDT,2020-05-19 16:01:00,2.571,50000,19447.685725398675,15.426000000000002,-10.284,2020-05-20 00:00:00,2.618,barclose,914.041229093732,27.246791131855307
76,ATOMUSDT,2020-05-20 04:01:00,2.616,50000,19113.1498470948,15.696000000000002,-10.464,2020-05-20 08:00:00,2.624,barclose,152.90519877675854,27.041284403669728
77,ATOMUSDT,2020-05-20 20:01:00,2.6,50000,-19230.76923076923,-10.4,15.600000000000001,2020-05-21 04:00:00,2.668,barclose,-1307.6923076923088,26.646923076923073
78,ATOMUSDT,2020-05-21 08:01:00,2.65,50000,-18867.924528301886,-10.6,15.899999999999999,2020-05-21 16:00:00,2.565,barclose,1603.7735849056596,27.43301886792453
79,ATOMUSDT,2020-05-21 16:01:00,2.557,50000,19554.165037152914,15.341999999999999,-10.228,2020-05-22 00:00:00,2.514,barclose,-840.8290965975782,26.772976143918655
80,ATOMUSDT,2020-05-22 12:01:00,2.618,50000,-19098.548510313216,-10.472,15.707999999999998,2020-05-23 00:00:00,2.654,barclose,-687.5477463712764,26.814362108479756
81,ATOMUSDT,2020-05-23 12:01:00,2.6,50000,19230.76923076923,15.600000000000001,-10.4,2020-05-23 16:00:00,2.616,barclose,307.69230769230796,27.083076923076923
82,ATOMUSDT,2020-05-23 16:01:00,2.616,50000,-19113.1498470948,-10.464,15.696000000000002,2020-05-23 20:00:00,2.604,barclose,229.35779816513778,27.06192660550459
83,ATOMUSDT,2020-05-24 04:01:00,2.627,50000,-19033.117624666924,-10.508,15.761999999999999,2020-05-24 12:00:00,2.61,barclose,323.56299961933587,27.08736200989722
84,ATOMUSDT,2020-05-24 12:01:00,2.607,50000,19179.133103183736,15.642000000000001,-10.428,2020-05-24 20:00:00,2.591,barclose,-306.86612965094,26.91714614499425
85,ATOMUSDT,2020-05-24 20:01:00,2.594,50000,-19275.250578257517,-10.376,15.564,2020-05-25 00:00:00,2.494,barclose,1927.5250578257449,27.52043176561295
86,ATOMUSDT,2020-05-25 00:01:00,2.482,50000,20145.044319097502,14.892000000000001,-9.928,2020-05-25 04:00:00,2.508,barclose,523.771152296531,27.14141821112006
87,ATOMUSDT,2020-05-25 04:01:00,2.509,50000,-19928.258270227183,-10.036,15.053999999999998,2020-05-25 08:00:00,2.537,barclose,-557.9912315663616,26.849342367477085
88,ATOMUSDT,2020-05-25 16:01:00,2.596,50000,19260.40061633282,15.576,-10.384,2020-05-25 20:00:00,2.598,barclose,38.5208012326614,27.010400616332817
89,ATOMUSDT,2020-05-25 20:01:00,2.598,50000,-19245.57351809084,-10.392,15.588,2020-05-26 04:00:00,2.621,barclose,-442.6481909160919,26.880484988452654
90,ATOMUSDT,2020-05-26 08:01:00,2.609,50000,-19164.430816404754,-10.436,15.654,2020-05-26 16:00:00,2.546,barclose,1207.3591414335028,27.325986968187046
91,ATOMUSDT,2020-05-27 00:01:00,2.586,50000,-19334.880123743234,-10.344,15.515999999999998,2020-05-27 04:00:00,2.579,barclose,135.34416086619632,27.03654292343387
92,ATOMUSDT,2020-05-27 12:01:00,2.654,50000,-18839.48756593821,-10.616,15.924,2020-05-27 16:00:00,2.616,barclose,715.9005275056484,27.193293142426526
93,ATOMUSDT,2020-05-27 20:01:00,2.616,50000,-19113.1498470948,-10.464,15.696000000000002,2020-05-28 04:00:00,2.581,barclose,668.9602446483207,27.180619266055047
94,ATOMUSDT,2020-05-28 12:01:00,2.607,50000,-19179.133103183736,-10.428,15.642000000000001,2020-05-29 04:00:00,2.681,barclose,-1419.2558496355934,26.61680092059839
95,ATOMUSDT,2020-05-29 12:01:00,2.656,50000,-18825.301204819276,-10.624,15.936,2020-05-29 20:00:00,2.682,barclose,-489.45783132529743,26.86784638554217
96,ATOMUSDT,2020-05-30 12:01:00,2.795,50000,-17889.08765652952,-11.18,16.77,2020-05-31 00:00:00,2.82,barclose,-447.22719141323637,26.879248658318424
97,ATOMUSDT,2020-05-31 12:01:00,2.89,50000,-17301.038062283737,-11.56,17.34,2020-05-31 16:00:00,2.797,barclose,1608.996539792387,27.434429065743945
98,ATOMUSDT,2020-06-01 00:01:00,2.718,50000,18395.87932303164,16.308,-10.872,2020-06-01 04:00:00,2.776,barclose,1066.961000735832,27.288079470198674
99,ATOMUSDT,2020-06-01 12:01:00,2.733,50000,18294.914013904134,16.398,-10.932,2020-06-01 16:00:00,2.777,barclose,804.9762166117825,27.21734357848518
100,ATOMUSDT,2020-06-01 16:01:00,2.777,50000,-18005.041411595244,-11.108,16.662,2020-06-02 04:00:00,2.869,barclose,-1656.463809866764,26.552754771335977
101,ATOMUSDT,2020-06-02 08:01:00,2.9,50000,-17241.37931034483,-11.6,17.4,2020-06-03 04:00:00,2.757,barclose,2465.517241379307,27.665689655172415
102,ATOMUSDT,2020-06-03 08:01:00,2.787,50000,17940.43774668102,16.722,-11.148,2020-06-03 20:00:00,2.888,barclose,1811.9842124147824,27.48923573735199
103,ATOMUSDT,2020-06-04 00:01:00,2.911,50000,17176.22810030917,17.466,-11.644,2020-06-04 20:00:00,3.14,barclose,3933.356234970802,28.062006183442115
104,ATOMUSDT,2020-06-04 20:01:00,3.136,50000,-15943.877551020407,-12.544,18.816000000000003,2020-06-05 00:00:00,3.113,barclose,366.70918367347144,27.099011479591837
105,ATOMUSDT,2020-06-05 00:01:00,3.115,50000,16051.364365971107,18.69,-12.46,2020-06-05 12:00:00,3.17,barclose,882.8250401284063,27.23836276083467
106,ATOMUSDT,2020-06-05 12:01:00,3.172,50000,-15762.925598991173,-12.688,19.032,2020-06-05 16:00:00,3.142,barclose,472.8877679697391,27.12767969735183
107,ATOMUSDT,2020-06-05 16:01:00,3.138,50000,15933.715742511155,18.828,-12.552,2020-06-06 04:00:00,3.131,barclose,-111.53601019757996,26.969885277246654
108,ATOMUSDT,2020-06-06 12:01:00,3.155,50000,-15847.860538827259,-12.62,18.93,2020-06-06 16:00:00,3.11,barclose,713.1537242472256,27.192551505546753
109,ATOMUSDT,2020-06-07 12:01:00,3.002,50000,16655.562958027982,18.012,-12.008,2020-06-07 16:00:00,2.965,barclose,-616.255829447034,26.8336109260493
110,ATOMUSDT,2020-06-07 16:01:00,2.956,50000,-16914.749661705006,-11.824,17.736,2020-06-08 00:00:00,3.024,barclose,-1150.2029769959413,26.689445196211096
111,ATOMUSDT,2020-06-08 00:01:00,3.027,50000,16518.004625041292,18.162,-12.108,2020-06-08 04:00:00,3.011,barclose,-264.2880740006609,26.928642220019825
112,ATOMUSDT,2020-06-08 08:01:00,3.074,50000,16265.452179570593,18.444,-12.296,2020-06-08 16:00:00,3.054,barclose,-325.30904359141215,26.912166558230318
113,ATOMUSDT,2020-06-08 16:01:00,3.05,50000,-16393.44262295082,-12.2,18.299999999999997,2020-06-09 04:00:00,3.114,barclose,-1049.1803278688535,26.71672131147541
114,ATOMUSDT,2020-06-09 04:01:00,3.113,50000,16061.676839061998,18.678,-12.452,2020-06-09 08:00:00,3.143,barclose,481.8503051718568,27.130099582396404
115,ATOMUSDT,2020-06-09 08:01:00,3.15,50000,-15873.015873015873,-12.6,18.9,2020-06-09 16:00:00,3.141,barclose,142.8571428571412,27.038571428571426
116,ATOMUSDT,2020-06-09 16:01:00,3.141,50000,15918.49729385546,18.846,-12.564,2020-06-09 20:00:00,3.134,barclose,-111.42948105699008,26.969914040114613
117,ATOMUSDT,2020-06-09 20:01:00,3.135,50000,-15948.96331738437,-12.54,18.81,2020-06-10 00:00:00,3.12,barclose,239.23444976076047,27.06459330143541
118,ATOMUSDT,2020-06-10 00:01:00,3.116,50000,16046.213093709885,18.696,-12.464,2020-06-10 12:00:00,3.055,barclose,-978.8189987163021,26.7357188703466
119,ATOMUSDT,2020-06-10 12:01:00,3.055,50000,-16366.612111292961,-12.22,18.330000000000002,2020-06-10 16:00:00,3.066,barclose,-180.03273322421728,26.95139116202946
120,ATOMUSDT,2020-06-10 16:01:00,3.066,50000,16307.893020221789,18.396,-12.264,2020-06-11 00:00:00,3.119,barclose,864.318330071761,27.233365949119374
121,ATOMUSDT,2020-06-11 08:01:00,3.066,50000,16307.893020221789,18.396,-12.264,2020-06-12 12:00:00,2.889,barclose,-2886.4970645792573,26.2206457925636
122,ATOMUSDT,2020-06-12 20:01:00,2.863,50000,17464.198393293747,17.178,-11.452,2020-06-13 08:00:00,2.843,barclose,-349.28396786587524,26.905693328676215
123,ATOMUSDT,2020-06-13 12:01:00,2.858,50000,17494.75157452764,17.148,-11.432,2020-06-13 16:00:00,2.875,barclose,297.4107767669682,27.080300909727082
124,ATOMUSDT,2020-06-15 08:01:00,2.615,50000,19120.458891013383,15.690000000000001,-10.46,2020-06-15 12:00:00,2.649,barclose,650.0956022944513,27.175525812619505
125,ATOMUSDT,2020-06-16 00:01:00,2.711,50000,18443.378827001106,16.266,-10.844,2020-06-16 04:00:00,2.759,barclose,885.282183696054,27.239026189597936
126,ATOMUSDT,2020-06-16 04:01:00,2.76,50000,-18115.942028985508,-11.04,16.56,2020-06-16 08:00:00,2.733,barclose,489.1304347826031,27.1320652173913
127,ATOMUSDT,2020-06-16 08:01:00,2.733,50000,18294.914013904134,16.398,-10.932,2020-06-16 12:00:00,2.745,barclose,219.5389681668498,27.05927552140505
128,ATOMUSDT,2020-06-16 12:01:00,2.742,50000,-18234.865061998542,-10.968,16.451999999999998,2020-06-16 16:00:00,2.695,barclose,857.0386579139342,27.231400437636765
